time,x,y,z,vx,vy,vz,w,qx,qy,qz,ox,oy,oz,extension
3.2500,60.6932,21.5499,-0.7287,35.50768,0.00766,-0.45916,0.999962,-0.003468,0.006307,0.004952,0.00458,0.06422,0.00288,1.000
3.5000,70.9410,21.5526,-0.9555,46.47008,0.01286,-1.53136,0.999804,0.001804,0.019060,0.005108,0.08297,0.11975,0.00093,1.000
3.7500,83.9246,21.5556,-1.5440,57.39508,0.01144,-3.16126,0.999483,0.012158,0.029347,0.004990,0.05539,0.04115,0.00117,1.000
4.0000,99.6413,21.5596,-2.4373,68.35660,0.02373,-3.53063,0.999617,0.012331,0.024183,0.005387,-0.09118,-0.16094,0.00706,1.000
4.2500,118.1064,21.5678,-3.0823,79.33771,0.04202,-1.63914,0.999939,-0.001648,-0.008294,0.007163,-0.07964,-0.29842,0.02741,1.000
4.5000,139.0257,21.5778,-3.3030,85.84287,-0.03300,-0.07905,0.999272,-0.008579,-0.034764,0.013198,-0.05809,-0.11694,0.06202,0.976
4.7500,160.7562,21.5587,-3.0660,88.00547,0.02893,2.04581,0.998719,-0.026362,-0.039706,0.017007,-0.28085,0.02958,-0.00818,0.926
5.0000,183.0460,21.4227,-2.4265,90.35180,-1.52659,2.70756,0.998126,-0.049495,-0.033290,0.013634,-0.04154,0.06402,-0.01028,0.876
5.2500,205.9340,20.8000,-1.7321,92.75358,-3.41236,2.82966,0.998322,-0.050692,-0.024754,0.013071,0.00311,0.07109,0.00882,0.826
5.5000,229.4231,19.7402,-1.0209,95.15898,-5.01517,2.84180,0.998466,-0.050881,-0.015988,0.014898,-0.00514,0.06557,0.02717,0.776
5.7500,253.5131,18.3201,-0.3198,97.55959,-6.28641,2.75077,0.998417,-0.052300,-0.008471,0.018898,-0.01402,0.05045,0.04255,0.726
6.0000,278.2016,16.6270,0.3473,99.94453,-7.19900,2.57354,0.998205,-0.054480,-0.003069,0.024695,-0.01774,0.03148,0.05446,0.676
6.2500,303.4831,14.7505,0.9616,102.30137,-7.75227,2.33172,0.997878,-0.056723,0.000095,0.031957,-0.01590,0.01426,0.06411,0.626
6.5000,329.3488,12.7820,1.5093,104.61577,-7.93118,2.04233,0.997479,-0.058375,0.001498,0.040325,-0.00981,0.00245,0.07013,0.576
6.7500,355.7861,10.8183,1.9796,106.87235,-7.71126,1.71457,0.997036,-0.059161,0.001895,0.049148,-0.00345,-0.00278,0.07036,0.526
7.0000,382.7791,8.9586,2.3638,109.05953,-7.10544,1.35415,0.996570,-0.059274,0.002023,0.057715,0.00061,-0.00244,0.06645,0.476
7.2500,410.3096,7.2934,2.6543,111.17208,-6.16658,0.96487,0.996085,-0.059043,0.002418,0.065745,0.00243,0.00129,0.06284,0.426
7.5000,438.3589,5.8977,2.8440,113.20877,-4.95738,0.54790,0.995560,-0.058728,0.003359,0.073486,0.00258,0.00608,0.06255,0.376
7.7500,466.9074,4.8343,2.9257,115.16569,-3.51232,0.10026,0.994956,-0.058489,0.004870,0.081350,0.00193,0.01014,0.06525,0.326
8.0000,495.9345,4.1598,2.8913,117.03566,-1.84812,-0.38155,0.994239,-0.058384,0.006807,0.089628,0.00093,0.01256,0.06938,0.276
8.2500,525.4172,3.9279,2.7319,118.80912,0.02866,-0.89950,0.993397,-0.058409,0.008949,0.098344,0.00005,0.01325,0.07074,0.226
8.5000,555.3308,4.1891,2.4388,120.48512,2.08123,-1.44943,0.992517,-0.058525,0.011056,0.106595,-0.00052,0.01268,0.06307,0.176
8.7500,585.6534,4.9742,2.0057,122.08451,4.20392,-2.01742,0.991683,-0.058683,0.012981,0.113807,-0.00070,0.01152,0.05500,0.126
9.0000,616.3685,6.2905,1.4295,123.62873,6.32253,-2.59274,0.990900,-0.058838,0.014707,0.120163,-0.00067,0.01036,0.04919,0.076
9.2500,647.4640,8.1334,0.7091,125.12895,8.41463,-3.17101,0.990158,-0.058975,0.016268,0.125874,-0.00051,0.00952,0.04425,0.026
9.5000,678.9301,10.4944,-0.1560,126.59378,10.46615,-3.74953,0.989464,-0.059086,0.017716,0.130978,-0.00034,0.00908,0.03925,0.000
9.7500,710.7582,13.3624,-1.1656,128.02678,12.46850,-4.32684,0.988833,-0.059184,0.019096,0.135435,-0.00020,0.00897,0.03391,0.000
10.0000,742.9415,16.7236,-2.3192,129.43663,14.40942,-4.90160,0.988276,-0.059282,0.020435,0.139209,-0.00013,0.00905,0.02825,0.000
10.2500,775.4754,20.5609,-3.6161,130.83334,16.27588,-5.47264,0.987803,-0.059391,0.021746,0.142287,-0.00013,0.00917,0.02289,0.000
10.5000,808.3578,24.8546,-5.0552,132.22513,18.06059,-6.03948,0.987404,-0.059516,0.023035,0.144779,-0.00016,0.00925,0.01854,0.000
10.7500,841.5880,29.5845,-6.6355,133.61702,19.76486,-6.60250,0.987080,-0.059659,0.024294,0.146710,-0.00020,0.00925,0.01372,0.000
11.0000,875.1669,34.7298,-8.3561,135.01617,21.38198,-7.16104,0.986844,-0.059820,0.025513,0.148021,-0.00021,0.00920,0.00869,0.000
11.2500,909.0974,40.2672,-10.2155,136.43101,22.89994,-7.71371,0.986691,-0.059995,0.026687,0.148757,-0.00021,0.00911,0.00456,0.000
11.5000,943.3843,46.1706,-12.2123,137.86837,24.30879,-8.25931,0.986602,-0.060178,0.027824,0.149068,-0.00019,0.00901,0.00184,0.000
11.7500,978.0338,52.4121,-14.3446,139.33206,25.60423,-8.79724,0.986549,-0.060363,0.028934,0.149135,-0.00016,0.00891,0.00055,0.000
12.0000,1013.0526,58.9636,-16.6103,140.82236,26.78970,-9.32783,0.986508,-0.060545,0.030027,0.149110,-0.00013,0.00883,0.00025,0.000
12.2500,1048.4470,65.7986,-19.0080,142.33675,27.87544,-9.85218,0.986468,-0.060722,0.031112,0.149084,-0.00011,0.00876,0.00041,0.000
12.5000,1084.2226,72.8942,-21.5360,143.87120,28.87577,-10.37188,0.986424,-0.060896,0.032190,0.149077,-0.00009,0.00869,0.00053,0.000
12.7500,1120.3840,80.2305,-24.1936,145.42186,29.80426,-10.88847,0.986378,-0.061066,0.033260,0.149072,-0.00008,0.00863,0.00041,0.000
13.0000,1156.9347,87.7912,-26.9801,146.98584,30.67170,-11.40316,0.986336,-0.061235,0.034321,0.149040,-0.00007,0.00857,0.00010,0.000
13.2500,1193.8778,95.5619,-29.8951,148.56121,31.48564,-11.91679,0.986300,-0.061403,0.035372,0.148965,-0.00007,0.00851,-0.00026,0.000
13.5000,1231.2161,103.5301,-32.9385,150.14654,32.25201,-12.43000,0.986270,-0.061570,0.036414,0.148847,-0.00006,0.00846,-0.00059,0.000
13.7500,1268.9518,111.6844,-36.1101,151.74054,32.97606,-12.94337,0.986244,-0.061737,0.037446,0.148693,-0.00005,0.00840,-0.00084,0.000
14.0000,1307.0870,120.0150,-39.4102,153.34199,33.66271,-13.45743,0.986221,-0.061903,0.038469,0.148513,-0.00005,0.00834,-0.00102,0.000
